species	specieskey	year	eeacellcode	level2gid	occurrences	mincoordinateuncertaintyinmeters
Procyon lotor	5218786	2024	1kmE3975N3109	BEL.2.4_1	1	8.0
Procyon lotor	5218786	2024	1kmE3976N3120	BEL.2.1_1	1	30.0
Procyon lotor	5218786	2024	1kmE3983N3101	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2024	1kmE3983N3105	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2024	1kmE3983N3126	BEL.2.1_1	3	3.0
Procyon lotor	5218786	2024	1kmE3990N3106	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2024	1kmE3992N3100	BEL.2.2_1	1	4.0
Procyon lotor	5218786	2024	1kmE4005N3104	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2024	1kmE4009N3130	BEL.2.2_1	1	500.0
Procyon lotor	5218786	2023	1kmE3914N3129	BEL.2.3_1	2	5.0
Procyon lotor	5218786	2023	1kmE3917N3084	BEL.2.4_1	1	49.0
Procyon lotor	5218786	2023	1kmE3938N3085	BEL.2.4_1	1	60.0
Procyon lotor	5218786	2023	1kmE3940N3100	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2023	1kmE3943N3112	BEL.2.4_1	1	5.0
Procyon lotor	5218786	2023	1kmE3943N3113	BEL.2.4_1	1	7.0
Procyon lotor	5218786	2023	1kmE3943N3137	BEL.2.1_1	2	5.0
Procyon lotor	5218786	2023	1kmE3944N3137	BEL.2.1_1	24	10.0
Procyon lotor	5218786	2023	1kmE3944N3139	BEL.2.1_1	5	7.0
Procyon lotor	5218786	2023	1kmE3945N3112	BEL.2.4_1	1	15.0
Procyon lotor	5218786	2023	1kmE3946N3135	BEL.2.1_1	3	7.0
Procyon lotor	5218786	2023	1kmE3947N3137	BEL.2.1_1	1	30.0
Procyon lotor	5218786	2023	1kmE3949N3140	BEL.2.1_1	4	5.0
Procyon lotor	5218786	2023	1kmE3950N3140	BEL.2.1_1	6	5.0
Procyon lotor	5218786	2023	1kmE3951N3127	BEL.2.1_1	1	30.0
Procyon lotor	5218786	2023	1kmE3953N3108	BEL.2.4_1	2	30.0
Procyon lotor	5218786	2023	1kmE3954N3104	BEL.2.4_1	1	4.0
Procyon lotor	5218786	2023	1kmE3955N3096	BEL.2.4_1	1	8.0
Procyon lotor	5218786	2023	1kmE3958N3099	BEL.2.4_1	1	8.0
Procyon lotor	5218786	2023	1kmE3958N3108	BEL.2.4_1	1	48.0
Procyon lotor	5218786	2023	1kmE3961N3117	BEL.2.1_1	1	25.0
Procyon lotor	5218786	2023	1kmE3962N3114	BEL.2.1_1	1	5.0
Procyon lotor	5218786	2023	1kmE3964N3115	BEL.2.4_1	1	15.0
Procyon lotor	5218786	2023	1kmE3967N3107	BEL.2.4_1	1	5.0
Procyon lotor	5218786	2023	1kmE3968N3112	BEL.2.4_1	2	15.0
Procyon lotor	5218786	2023	1kmE3975N3112	BEL.2.4_1	1	15.0
Procyon lotor	5218786	2023	1kmE3978N3113	BEL.2.4_1	2	120.0
Procyon lotor	5218786	2023	1kmE3978N3114	BEL.2.4_1	1	3.0
Procyon lotor	5218786	2023	1kmE3979N3114	BEL.2.4_1	1	3.0
Procyon lotor	5218786	2023	1kmE3988N3104	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2023	1kmE3992N3118	BEL.2.2_1	1	7.0
Procyon lotor	5218786	2023	1kmE3997N3095	BEL.2.2_1	1	24.0
Procyon lotor	5218786	2023	1kmE4005N3105	BEL.2.2_1	1	8.0
Procyon lotor	5218786	2023	1kmE4010N3119	BEL.2.2_1	1	15.0
Procyon lotor	5218786	2023	1kmE4021N3119	BEL.2.2_1	1	200.0
Procyon lotor	5218786	2022	1kmE3903N3135	BEL.2.3_1	1	25.0
Procyon lotor	5218786	2022	1kmE3912N3127	BEL.2.3_1	1	25.0
Procyon lotor	5218786	2022	1kmE3930N3087	BEL.2.4_1	1	5.0
Procyon lotor	5218786	2022	1kmE3932N3118	BEL.2.1_1	1	24.0
Procyon lotor	5218786	2022	1kmE3939N3092	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2022	1kmE3940N3125	BEL.2.1_1	1	5.0
Procyon lotor	5218786	2022	1kmE3944N3137	BEL.2.1_1	1	10.0
Procyon lotor	5218786	2022	1kmE3946N3094	BEL.2.4_1	1	7.0
Procyon lotor	5218786	2022	1kmE3947N3137	BEL.2.1_1	1	60.0
Procyon lotor	5218786	2022	1kmE3956N3156	BEL.2.1_1	1	7.0
Procyon lotor	5218786	2022	1kmE3960N3113	BEL.2.4_1	1	4.0
Procyon lotor	5218786	2022	1kmE3965N3114	BEL.2.4_1	1	7.0
Procyon lotor	5218786	2022	1kmE3970N3121	BEL.2.1_1	1	15.0
Procyon lotor	5218786	2022	1kmE3974N3112	BEL.2.4_1	1	7.0
Procyon lotor	5218786	2022	1kmE3985N3127	BEL.2.1_1	1	15.0
Procyon lotor	5218786	2022	1kmE3990N3108	BEL.2.2_1	2	25.0
Procyon lotor	5218786	2022	1kmE3991N3101	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2022	1kmE3991N3106	BEL.2.2_1	1	10.0
Procyon lotor	5218786	2022	1kmE3992N3100	BEL.2.2_1	1	5.0
Procyon lotor	5218786	2022	1kmE3992N3118	BEL.2.2_1	1	7.0
Procyon lotor	5218786	2022	1kmE3994N3133	BEL.2.2_1	1	10.0
Procyon lotor	5218786	2022	1kmE4006N3097	BEL.2.2_1	1	3.0
Procyon lotor	5218786	2022	1kmE4007N3105	BEL.2.2_1	1	120.0
Procyon lotor	5218786	2022	1kmE4007N3116	BEL.2.2_1	2	15.0
Procyon lotor	5218786	2022	1kmE4009N3124	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2022	1kmE4017N3128	BEL.2.2_1	4	187.0
Procyon lotor	5218786	2022	1kmE4029N3078	BEL.2.2_1	1	8.0
Procyon lotor	5218786	2022	1kmE4030N3079	BEL.2.2_1	1	5.0
Procyon lotor	5218786	2021	1kmE3900N3109	BEL.2.3_1	1	8.0
Procyon lotor	5218786	2021	1kmE3936N3085	BEL.2.4_1	2	8.0
Procyon lotor	5218786	2021	1kmE3942N3137	BEL.2.1_1	1	25.0
Procyon lotor	5218786	2021	1kmE3947N3111	BEL.2.4_1	1	999.0
Procyon lotor	5218786	2021	1kmE3953N3136	BEL.2.1_1	1	50.0
Procyon lotor	5218786	2021	1kmE3956N3156	BEL.2.1_1	2	5.0
Procyon lotor	5218786	2021	1kmE3958N3155	BEL.2.1_1	1	187.0
Procyon lotor	5218786	2021	1kmE3972N3147	BEL.2.1_1	2	13.0
Procyon lotor	5218786	2021	1kmE3975N3138	BEL.2.1_1	1	60.0
Procyon lotor	5218786	2021	1kmE3977N3130	BEL.2.1_1	1	25.0
Procyon lotor	5218786	2021	1kmE3979N3081	BEL.2.2_1	1	5.0
Procyon lotor	5218786	2021	1kmE3979N3113	BEL.2.4_1	1	7.0
Procyon lotor	5218786	2021	1kmE3989N3108	BEL.2.2_1	1	5.0
Procyon lotor	5218786	2021	1kmE4001N3126	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2021	1kmE4011N3131	BEL.2.2_1	1	30.0
Procyon lotor	5218786	2021	1kmE4017N3128	BEL.2.2_1	2	187.0
Procyon lotor	5218786	2020	1kmE3899N3119	BEL.2.3_1	1	10.0
Procyon lotor	5218786	2020	1kmE3902N3127	BEL.2.3_1	1	10.0
Procyon lotor	5218786	2020	1kmE3937N3089	BEL.2.4_1	2	5.0
Procyon lotor	5218786	2020	1kmE3938N3085	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2020	1kmE3962N3114	BEL.2.1_1	1	15.0
Procyon lotor	5218786	2020	1kmE4011N3111	BEL.2.2_1	2	5.0
Procyon lotor	5218786	2019	1kmE3932N3124	BEL.2.1_1	1	10.0
Procyon lotor	5218786	2019	1kmE3934N3125	BEL.2.1_1	1	25.0
Procyon lotor	5218786	2019	1kmE3934N3127	BEL.2.1_1	1	10.0
Procyon lotor	5218786	2019	1kmE3935N3124	BEL.2.1_1	1	10.0
Procyon lotor	5218786	2019	1kmE3936N3159	BEL.2.1_1	1	7.0
Procyon lotor	5218786	2019	1kmE3938N3088	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2019	1kmE3938N3138	BEL.2.1_1	1	10.0
Procyon lotor	5218786	2019	1kmE3939N3135	BEL.2.1_1	1	100.0
Procyon lotor	5218786	2019	1kmE3941N3087	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2019	1kmE3941N3135	BEL.2.1_1	1	100.0
Procyon lotor	5218786	2019	1kmE3949N3101	BEL.2.4_1	1	25.0
Procyon lotor	5218786	2018	1kmE3856N3159	BEL.2.5_1	1	10.0
Procyon lotor	5218786	2018	1kmE3900N3099	BEL.2.3_1	1	10.0
Procyon lotor	5218786	2018	1kmE3900N3100	BEL.2.3_1	1	999.0
Procyon lotor	5218786	2018	1kmE3943N3134	BEL.2.1_1	3	10.0
Procyon lotor	5218786	2018	1kmE3967N3099	BEL.2.4_1	1	100.0
Procyon lotor	5218786	2018	1kmE3995N3101	BEL.2.2_1	1	100.0
Procyon lotor	5218786	2017	1kmE3847N3135	BEL.2.5_1	1	25.0
Procyon lotor	5218786	2017	1kmE3884N3099	BEL.2.3_1	1	100.0
Procyon lotor	5218786	2017	1kmE3888N3102	BEL.2.3_1	2	10.0
Procyon lotor	5218786	2017	1kmE3926N3135	BEL.2.1_1	1	10.0
Procyon lotor	5218786	2017	1kmE3929N3088	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2017	1kmE3930N3089	BEL.2.4_1	1	25.0
Procyon lotor	5218786	2017	1kmE3955N3096	BEL.2.4_1	1	100.0
Procyon lotor	5218786	2016	1kmE3860N3143	BEL.2.3_1	1	100.0
Procyon lotor	5218786	2016	1kmE3929N3088	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2016	1kmE3930N3092	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2016	1kmE3957N3136	BEL.2.1_1	1	10.0
Procyon lotor	5218786	2016	1kmE4016N3102	BEL.2.2_1	1	25.0
Procyon lotor	5218786	2016	1kmE4017N3102	BEL.2.2_1	1	100.0
Procyon lotor	5218786	2015	1kmE3940N3088	BEL.2.4_1	1	25.0
Procyon lotor	5218786	2015	1kmE3948N3106	BEL.2.4_1	2	100.0
Procyon lotor	5218786	2015	1kmE3952N3128	BEL.2.1_1	1	100.0
Procyon lotor	5218786	2015	1kmE3957N3139	BEL.2.1_1	1	10.0
Procyon lotor	5218786	2014	1kmE3887N3089	BEL.2.3_1	1	10.0
Procyon lotor	5218786	2014	1kmE3987N3106	BEL.2.2_1	1	10.0
Procyon lotor	5218786	2014	1kmE4018N3127	BEL.2.2_1	1	100.0
Procyon lotor	5218786	2012	1kmE3943N3095	BEL.2.4_1	1	999.0
Procyon lotor	5218786	2012	1kmE3948N3089	BEL.2.4_1	2	10.0
Procyon lotor	5218786	2012	1kmE4024N3081	BEL.2.2_1	1	15.0
Procyon lotor	5218786	2012	1kmE4025N3078	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2011	1kmE3845N3098	BEL.2.5_1	3	10.0
Procyon lotor	5218786	2011	1kmE3970N3117	BEL.2.1_1	1	100.0
Procyon lotor	5218786	2009	1kmE3932N3086	BEL.2.4_1	1	999.0
Procyon lotor	5218786	2006	1kmE3848N3104	BEL.2.5_1	1	999.0
Procyon lotor	5218786	2002	1kmE3842N3096	BEL.2.5_1	1	500.0
Procyon lotor	5218786	2002	1kmE3897N3108	BEL.2.3_1	1	500.0
Procyon lotor	5218786	2001	1kmE3935N3164	BEL.2.1_1	1	500.0
Procyon lotor	5218786	2000	1kmE3901N3104	BEL.2.3_1	1	500.0
Procyon lotor	5218786	1996	1kmE3848N3111	BEL.2.5_1	1	500.0
Procyon lotor	5218786	1995	1kmE3851N3132	BEL.2.5_1	1	500.0
Procyon lotor	5218786	1995	1kmE3952N3122	BEL.2.1_1	1	500.0
Procyon lotor	5218786	1993	1kmE4015N3114	BEL.2.2_1	1	500.0
Procyon lotor	5218786	1986	1kmE3952N3123	BEL.2.1_1	1	500.0
