species	specieskey	year	eeacellcode	level2gid	occurrences	mincoordinateuncertaintyinmeters
Procyon lotor	5218786	2025	1kmE3938N3085	BEL.2.4_1	1	30.0
Procyon lotor	5218786	2025	1kmE3941N3113	BEL.2.1_1	1	2.0
Procyon lotor	5218786	2025	1kmE3946N3135	BEL.2.1_1	4	7.0
Procyon lotor	5218786	2025	1kmE3947N3131	BEL.2.1_1	1	999.0
Procyon lotor	5218786	2025	1kmE3950N3122	BEL.2.1_1	1	50.0
Procyon lotor	5218786	2025	1kmE3950N3140	BEL.2.1_1	5	10.0
Procyon lotor	5218786	2025	1kmE3953N3137	BEL.2.1_1	1	35.0
Procyon lotor	5218786	2025	1kmE3959N3112	BEL.2.4_1	1	14.0
Procyon lotor	5218786	2025	1kmE3967N3140	BEL.2.1_1	1	7.0
Procyon lotor	5218786	2025	1kmE3968N3112	BEL.2.4_1	1	15.0
Procyon lotor	5218786	2025	1kmE3975N3112	BEL.2.4_1	1	4.0
Procyon lotor	5218786	2025	1kmE3996N3092	BEL.2.2_1	1	999.0
Procyon lotor	5218786	2024	1kmE3886N3118	BEL.2.3_1	1	30.0
Procyon lotor	5218786	2024	1kmE3887N3105	BEL.2.3_1	1	5.0
Procyon lotor	5218786	2024	1kmE3918N3083	BEL.2.4_1	1	2.0
Procyon lotor	5218786	2024	1kmE3933N3106	BEL.2.4_1	1	8.0
Procyon lotor	5218786	2024	1kmE3938N3085	BEL.2.4_1	1	60.0
Procyon lotor	5218786	2024	1kmE3941N3115	BEL.2.1_1	1	60.0
Procyon lotor	5218786	2024	1kmE3941N3116	BEL.2.1_1	1	60.0
Procyon lotor	5218786	2024	1kmE3942N3142	BEL.2.1_1	1	15.0
Procyon lotor	5218786	2024	1kmE3943N3091	BEL.2.4_1	1	2828.0
Procyon lotor	5218786	2024	1kmE3943N3137	BEL.2.1_1	1	7.0
Procyon lotor	5218786	2024	1kmE3943N3142	BEL.2.1_1	1	5.0
Procyon lotor	5218786	2024	1kmE3944N3089	BEL.2.4_1	1	15.0
Procyon lotor	5218786	2024	1kmE3944N3137	BEL.2.1_1	2	10.0
Procyon lotor	5218786	2024	1kmE3945N3094	BEL.2.4_1	1	4.0
Procyon lotor	5218786	2024	1kmE3945N3145	BEL.2.1_1	3	4.0
Procyon lotor	5218786	2024	1kmE3946N3135	BEL.2.1_1	20	4.0
Procyon lotor	5218786	2024	1kmE3946N3153	BEL.2.1_1	1	4.0
Procyon lotor	5218786	2024	1kmE3947N3137	BEL.2.1_1	1	60.0
Procyon lotor	5218786	2024	1kmE3947N3154	BEL.2.1_1	1	15.0
Procyon lotor	5218786	2024	1kmE3948N3091	BEL.2.4_1	1	3.0
Procyon lotor	5218786	2024	1kmE3948N3108	BEL.2.4_1	1	999.0
Procyon lotor	5218786	2024	1kmE3949N3139	BEL.2.1_1	1	4.0
Procyon lotor	5218786	2024	1kmE3949N3140	BEL.2.1_1	2	15.0
Procyon lotor	5218786	2024	1kmE3950N3140	BEL.2.1_1	32	3.0
Procyon lotor	5218786	2024	1kmE3951N3103	BEL.2.4_1	1	10.0
Procyon lotor	5218786	2024	1kmE3952N3105	BEL.2.4_1	1	15.0
Procyon lotor	5218786	2024	1kmE3953N3103	BEL.2.4_1	1	4.0
Procyon lotor	5218786	2024	1kmE3954N3095	BEL.2.4_1	4	2.0
Procyon lotor	5218786	2024	1kmE3954N3120	BEL.2.1_1	1	7.0
Procyon lotor	5218786	2024	1kmE3956N3103	BEL.2.4_1	1	120.0
Procyon lotor	5218786	2024	1kmE3956N3134	BEL.2.1_1	1	999.0
Procyon lotor	5218786	2024	1kmE3957N3133	BEL.2.1_1	1	999.0
Procyon lotor	5218786	2024	1kmE3964N3119	BEL.2.1_1	2	4.0
Procyon lotor	5218786	2024	1kmE3968N3111	BEL.2.4_1	1	20.0
Procyon lotor	5218786	2024	1kmE3968N3112	BEL.2.4_1	16	15.0
Procyon lotor	5218786	2024	1kmE3968N3120	BEL.2.1_1	1	13.0
Procyon lotor	5218786	2024	1kmE3969N3091	BEL.2.4_1	1	4.0
Procyon lotor	5218786	2024	1kmE3969N3111	BEL.2.4_1	1	60.0
