species	specieskey	year	eeacellcode	occurrences	mincoordinateuncertaintyinmeters
Procyon lotor	5218786	2023	1kmE3944N3137	24	10.0
Procyon lotor	5218786	2014	1kmE3887N3089	1	10.0
Procyon lotor	5218786	2019	1kmE3938N3138	1	10.0
Procyon lotor	5218786	2024	1kmE3943N3142	1	5.0
Procyon lotor	5218786	2020	1kmE3938N3085	1	10.0
Procyon lotor	5218786	2023	1kmE3953N3108	2	30.0
Procyon lotor	5218786	2023	1kmE3961N3117	1	25.0
Procyon lotor	5218786	2022	1kmE4029N3078	1	8.0
Procyon lotor	5218786	2023	1kmE3938N3085	1	60.0
Procyon lotor	5218786	2024	1kmE3992N3100	1	4.0
Procyon lotor	5218786	2022	1kmE4006N3097	1	3.0
Procyon lotor	5218786	2017	1kmE3926N3135	1	10.0
Procyon lotor	5218786	2022	1kmE4007N3105	1	120.0
Procyon lotor	5218786	2002	1kmE3842N3096	1	500.0
Procyon lotor	5218786	2019	1kmE3939N3135	1	100.0
Procyon lotor	5218786	2017	1kmE3847N3135	1	25.0
Procyon lotor	5218786	2024	1kmE3946N3135	20	4.0
Procyon lotor	5218786	2024	1kmE3968N3112	16	15.0
Procyon lotor	5218786	1995	1kmE3850N3131	1	500.0
Procyon lotor	5218786	2023	1kmE3944N3139	5	7.0
Procyon lotor	5218786	2021	1kmE3953N3136	1	50.0
Procyon lotor	5218786	2024	1kmE3968N3111	1	20.0
Procyon lotor	5218786	2024	1kmE3969N3111	1	60.0
Procyon lotor	5218786	2025	1kmE3938N3085	1	30.0
Procyon lotor	5218786	2021	1kmE3979N3113	1	7.0
Procyon lotor	5218786	2023	1kmE4010N3119	1	15.0
Procyon lotor	5218786	2014	1kmE4018N3127	1	100.0
Procyon lotor	5218786	2024	1kmE3983N3126	3	3.0
Procyon lotor	5218786	2022	1kmE4007N3116	2	15.0
Procyon lotor	5218786	2025	1kmE3975N3112	1	4.0
Procyon lotor	5218786	2022	1kmE3970N3121	1	15.0
Procyon lotor	5218786	2023	1kmE3964N3115	1	15.0
Procyon lotor	5218786	2024	1kmE4005N3105	1	999.0
Procyon lotor	5218786	2023	1kmE3950N3140	6	5.0
Procyon lotor	5218786	1993	1kmE4015N3114	1	500.0
Procyon lotor	5218786	2019	1kmE3935N3124	1	10.0
Procyon lotor	5218786	2021	1kmE3972N3147	2	13.0
Procyon lotor	5218786	2024	1kmE3945N3094	1	4.0
Procyon lotor	5218786	2024	1kmE3944N3137	2	10.0
Procyon lotor	5218786	2025	1kmE3950N3140	5	10.0
Procyon lotor	5218786	2019	1kmE3938N3088	1	10.0
Procyon lotor	5218786	2024	1kmE3975N3109	1	8.0
Procyon lotor	5218786	2024	1kmE3950N3140	31	3.0
Procyon lotor	5218786	2016	1kmE3957N3136	1	10.0
Procyon lotor	5218786	2025	1kmE3946N3135	4	7.0
Procyon lotor	5218786	2024	1kmE3991N3106	1	999.0
Procyon lotor	5218786	2017	1kmE3930N3089	1	25.0
Procyon lotor	5218786	2022	1kmE3939N3092	1	10.0
