species	specieskey	year	eeacellcode	occurrences	mincoordinateuncertaintyinmeters
Procyon lotor	5218786	2022	1kmE3944N3137	1	10.0
Procyon lotor	5218786	2024	1kmE3947N3137	1	60.0
Procyon lotor	5218786	2024	1kmE3954N3095	4	2.0
Procyon lotor	5218786	2024	1kmE3957N3134	1	999.0
Procyon lotor	5218786	2023	1kmE3946N3135	3	7.0
Procyon lotor	5218786	2016	1kmE4016N3102	1	25.0
Procyon lotor	5218786	2021	1kmE3936N3085	2	8.0
Procyon lotor	5218786	2019	1kmE3934N3127	1	10.0
Procyon lotor	5218786	2018	1kmE3995N3101	1	100.0
Procyon lotor	5218786	2022	1kmE3991N3106	1	10.0
Procyon lotor	5218786	2024	1kmE3942N3142	1	15.0
Procyon lotor	5218786	2023	1kmE4021N3119	1	200.0
Procyon lotor	5218786	2022	1kmE3940N3125	1	5.0
Procyon lotor	5218786	2022	1kmE3947N3137	1	60.0
Procyon lotor	5218786	2021	1kmE3979N3081	1	5.0
Procyon lotor	5218786	2023	1kmE3949N3140	4	5.0
Procyon lotor	5218786	2024	1kmE3943N3137	1	7.0
Procyon lotor	5218786	2024	1kmE3944N3089	1	15.0
Procyon lotor	5218786	2024	1kmE3943N3089	1	2828.0
Procyon lotor	5218786	2021	1kmE3958N3154	1	187.0
Procyon lotor	5218786	2022	1kmE4017N3128	4	187.0
Procyon lotor	5218786	2021	1kmE4017N3128	2	187.0
Procyon lotor	5218786	2021	1kmE4011N3131	1	30.0
Procyon lotor	5218786	2022	1kmE3992N3100	1	5.0
Procyon lotor	5218786	2023	1kmE3978N3114	2	3.0
Procyon lotor	5218786	2019	1kmE3932N3124	1	10.0
Procyon lotor	5218786	2015	1kmE3952N3128	1	100.0
Procyon lotor	5218786	2023	1kmE3988N3105	1	999.0
Procyon lotor	5218786	2022	1kmE3956N3156	1	7.0
Procyon lotor	5218786	2025	1kmE3947N3131	1	999.0
Procyon lotor	5218786	2024	1kmE3948N3091	1	3.0
Procyon lotor	5218786	2024	1kmE3946N3153	1	4.0
Procyon lotor	5218786	2022	1kmE3990N3100	1	999.0
Procyon lotor	5218786	2021	1kmE3942N3137	1	25.0
Procyon lotor	5218786	2023	1kmE3943N3112	1	5.0
Procyon lotor	5218786	2021	1kmE3989N3108	1	5.0
Procyon lotor	5218786	2023	1kmE3943N3137	2	5.0
Procyon lotor	5218786	2018	1kmE3856N3159	1	10.0
Procyon lotor	5218786	2023	1kmE3945N3112	1	15.0
Procyon lotor	5218786	2023	1kmE3940N3100	1	10.0
Procyon lotor	5218786	2023	1kmE3958N3108	1	48.0
Procyon lotor	5218786	2011	1kmE3845N3098	2	10.0
Procyon lotor	5218786	2022	1kmE3965N3114	1	7.0
Procyon lotor	5218786	2024	1kmE3887N3105	1	5.0
Procyon lotor	5218786	2022	1kmE4008N3124	1	999.0
Procyon lotor	5218786	2021	1kmE3975N3138	1	60.0
Procyon lotor	5218786	2019	1kmE3936N3159	1	7.0
Procyon lotor	5218786	2025	1kmE3953N3137	1	35.0
Procyon lotor	5218786	2015	1kmE3948N3106	2	100.0
Procyon lotor	5218786	2023	1kmE4005N3105	1	8.0
Procyon lotor	5218786	2023	1kmE3954N3104	1	4.0
Procyon lotor	5218786	2022	1kmE3960N3113	1	4.0
Procyon lotor	5218786	2021	1kmE3956N3156	2	5.0
Procyon lotor	5218786	2023	1kmE3992N3118	1	7.0
Procyon lotor	5218786	2022	1kmE3946N3094	1	7.0
Procyon lotor	5218786	2025	1kmE3941N3113	1	2.0
Procyon lotor	5218786	2015	1kmE3957N3139	1	10.0
Procyon lotor	5218786	2023	1kmE3967N3107	1	5.0
Procyon lotor	5218786	2023	1kmE3975N3112	1	15.0
Procyon lotor	5218786	2022	1kmE3912N3127	1	25.0
Procyon lotor	5218786	2020	1kmE3962N3114	1	15.0
Procyon lotor	5218786	2019	1kmE3941N3087	1	10.0
Procyon lotor	5218786	2023	1kmE3943N3113	1	7.0
Procyon lotor	5218786	2016	1kmE3929N3088	1	10.0
Procyon lotor	5218786	2017	1kmE3888N3102	2	10.0
Procyon lotor	5218786	2022	1kmE3932N3118	1	24.0
Procyon lotor	5218786	2014	1kmE3987N3106	1	10.0
Procyon lotor	5218786	2021	1kmE3977N3130	1	25.0
Procyon lotor	5218786	2018	1kmE3967N3099	1	100.0
Procyon lotor	5218786	2024	1kmE3951N3103	1	10.0
Procyon lotor	5218786	2024	1kmE3933N3106	1	8.0
Procyon lotor	5218786	2024	1kmE3969N3091	1	4.0
Procyon lotor	5218786	2024	1kmE3956N3133	1	999.0
Procyon lotor	5218786	2022	1kmE3992N3118	1	7.0
Procyon lotor	5218786	2023	1kmE3962N3114	1	5.0
Procyon lotor	5218786	2011	1kmE3970N3117	1	100.0
Procyon lotor	5218786	2011	1kmE3845N3097	1	999.0
Procyon lotor	5218786	1986	1kmE3952N3123	1	500.0
Procyon lotor	5218786	2019	1kmE3949N3101	1	25.0
Procyon lotor	5218786	2023	1kmE3968N3112	2	15.0
Procyon lotor	5218786	2024	1kmE3953N3103	1	4.0
Procyon lotor	5218786	2023	1kmE3958N3099	1	8.0
Procyon lotor	5218786	2023	1kmE3951N3127	1	30.0
Procyon lotor	5218786	2023	1kmE3955N3096	1	8.0
Procyon lotor	5218786	2023	1kmE3947N3137	1	30.0
Procyon lotor	5218786	2024	1kmE3941N3116	1	60.0
Procyon lotor	5218786	2025	1kmE3950N3122	1	50.0
Procyon lotor	5218786	2024	1kmE4009N3129	1	500.0
Procyon lotor	5218786	2024	1kmE3941N3115	1	60.0
Procyon lotor	5218786	2020	1kmE4011N3111	2	5.0
Procyon lotor	5218786	2023	1kmE3997N3095	1	24.0
Procyon lotor	5218786	2017	1kmE3929N3088	1	10.0
Procyon lotor	5218786	2012	1kmE3944N3094	1	999.0
Procyon lotor	5218786	2018	1kmE3900N3099	2	10.0
Procyon lotor	5218786	2021	1kmE3900N3109	1	8.0
Procyon lotor	5218786	2024	1kmE3949N3140	3	15.0
Procyon lotor	5218786	2012	1kmE4024N3081	1	15.0
Procyon lotor	5218786	2024	1kmE3945N3145	3	4.0
Procyon lotor	5218786	2024	1kmE3949N3139	1	4.0
Procyon lotor	5218786	2016	1kmE3860N3143	1	100.0
Procyon lotor	5218786	2024	1kmE3938N3085	1	60.0
Procyon lotor	5218786	2025	1kmE3968N3112	1	15.0
Procyon lotor	5218786	2025	1kmE3967N3140	1	7.0
Procyon lotor	5218786	1995	1kmE3952N3122	1	500.0
Procyon lotor	5218786	2022	1kmE3974N3112	1	7.0
Procyon lotor	5218786	1996	1kmE3848N3111	1	500.0
Procyon lotor	5218786	2017	1kmE3884N3099	1	100.0
Procyon lotor	5218786	2016	1kmE3930N3092	1	10.0
Procyon lotor	5218786	2024	1kmE3952N3105	1	15.0
Procyon lotor	5218786	2006	1kmE3847N3104	1	999.0
Procyon lotor	5218786	2022	1kmE3985N3127	1	15.0
Procyon lotor	5218786	2020	1kmE3902N3127	1	10.0
Procyon lotor	5218786	2012	1kmE4026N3077	1	999.0
Procyon lotor	5218786	2020	1kmE3899N3119	1	10.0
Procyon lotor	5218786	2015	1kmE3940N3088	1	25.0
Procyon lotor	5218786	2000	1kmE3901N3104	1	500.0
Procyon lotor	5218786	2023	1kmE3978N3113	1	120.0
Procyon lotor	5218786	2019	1kmE3941N3135	1	100.0
Procyon lotor	5218786	2022	1kmE3903N3135	1	25.0
Procyon lotor	5218786	2024	1kmE3968N3120	1	13.0
Procyon lotor	5218786	2001	1kmE3936N3165	1	500.0
Procyon lotor	5218786	2023	1kmE3979N3114	1	3.0
Procyon lotor	5218786	2012	1kmE3948N3089	2	10.0
Procyon lotor	5218786	2022	1kmE3990N3108	2	25.0
Procyon lotor	5218786	2024	1kmE3964N3119	2	4.0
Procyon lotor	5218786	2009	1kmE3932N3086	1	999.0
Procyon lotor	5218786	2023	1kmE3914N3129	2	5.0
Procyon lotor	5218786	2024	1kmE3948N3107	1	999.0
Procyon lotor	5218786	2022	1kmE4030N3079	1	5.0
Procyon lotor	5218786	2021	1kmE4000N3125	1	999.0
Procyon lotor	5218786	2024	1kmE3954N3120	1	7.0
Procyon lotor	5218786	2022	1kmE3930N3087	1	5.0
Procyon lotor	5218786	2021	1kmE3948N3111	1	999.0
Procyon lotor	5218786	2020	1kmE3937N3089	2	5.0
Procyon lotor	5218786	2024	1kmE3947N3154	1	15.0
Procyon lotor	5218786	2018	1kmE3943N3134	3	10.0
Procyon lotor	5218786	2024	1kmE3955N3103	1	120.0
Procyon lotor	5218786	2025	1kmE3959N3112	1	14.0
Procyon lotor	5218786	2024	1kmE3886N3118	1	30.0
Procyon lotor	5218786	2024	1kmE3983N3106	1	999.0
Procyon lotor	5218786	2024	1kmE3976N3120	1	30.0
Procyon lotor	5218786	2019	1kmE3934N3125	1	25.0
Procyon lotor	5218786	2024	1kmE3918N3083	1	2.0
Procyon lotor	5218786	2002	1kmE3897N3107	1	500.0
Procyon lotor	5218786	2025	1kmE3996N3092	1	999.0
Procyon lotor	5218786	2016	1kmE4017N3102	1	100.0
Procyon lotor	5218786	2022	1kmE3994N3133	1	10.0
Procyon lotor	5218786	2017	1kmE3955N3096	1	100.0
Procyon lotor	5218786	2024	1kmE3983N3101	1	999.0
Procyon lotor	5218786	2023	1kmE3917N3084	1	49.0
